date,GOOG,AAPL,FB,BABA,AMZN,GE,AMD,WMT,BAC,GM,T,UAA,SHLD,XOM,RRC,BBY,MA,PFE,JPM,SBUX,portfolio total
2014-12-18,0.0,0.0,0.0,0.0,173.82073502202,0.0,0.0181815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6789159100499997,19.2030193887,0.0,4.38651926676,0.0,201.10737108752997
2014-12-19,0.0,0.0,0.0,0.0,175.08761449708,0.0,0.0183241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72958764351,19.09697492108,0.0,4.4186262352,0.0,202.35112739687003
2014-12-22,0.0,0.0,0.0,0.0,178.96418805438,0.0,0.0189658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75062068095,19.18313609352,0.0,4.41934058268,0.0,206.33625121153
2014-12-23,0.0,0.0,0.0,0.0,178.81823305438,0.0,0.0190371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.794599809,19.35987694844,0.0,4.4578681808,0.0,206.44961509261998
2014-12-24,0.0,0.0,0.0,0.0,176.91497401618,0.0,0.018894499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71811412827,19.39080697204,0.0,4.4578681808,0.0,204.50065779729
2014-12-26,0.0,0.0,0.0,0.0,180.45292146472,0.0,0.018894499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7420162755299997,19.39080697204,0.0,4.46286323392,0.0,208.06750244620997
2014-12-29,0.0,0.0,0.0,0.0,182.17519805438,0.0,0.0189658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7362801444899993,19.37092549014,0.0,4.49211577492,0.0,209.79348526392997
2014-12-30,0.0,0.0,0.0,0.0,181.15933899415998,0.0,0.0187519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7649619484200003,19.21406951702,0.0,4.50567216136,0.0,208.66279452095998
2014-12-31,0.0,0.0,0.0,0.0,181.18854050292,0.0,0.0190371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7267189514099996,19.03511850044,0.0,4.4650033138800005,0.0,208.43441836865
2015-01-02,0.0,0.0,0.0,0.0,180.12013997798002,0.0,0.0190371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.70855335291,18.929070632920002,0.0,4.4872637784,0.0,207.26406484221002
2015-01-05,0.0,0.0,0.0,0.0,176.42456696764,0.0,0.0189658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6129484189199994,18.39662906676,0.0,4.34795713236,0.0,202.80106738568
2015-01-06,0.0,0.0,0.0,0.0,172.39621305438,0.0,0.0187519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5804427016799996,18.35686791624,0.0,4.23521839676,0.0,198.58749396906
2015-01-07,0.0,0.0,0.0,0.0,174.22357198966,0.0,0.0183954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6836962977299996,18.64241486422,0.0,4.24168135872,0.0,200.80975991033
2015-01-08,0.0,0.0,0.0,0.0,175.41455194562,0.0,0.0186093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73914841887,18.9323907486,0.0,4.3364673096,0.0,202.44116772269
2015-01-09,0.0,0.0,0.0,0.0,173.35366851326,0.0,0.0187519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6387622617599997,18.69111321854,0.0,4.26106938704,0.0,199.96336528060004
2015-01-12,0.0,0.0,0.0,0.0,170.13098853528,0.0,0.0187519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73723630557,18.452052423279998,0.0,4.224447988880001,0.0,196.56347715301004
2015-01-13,0.0,0.0,0.0,0.0,172.0751009618,0.0,0.0189658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7381919444999996,18.494108506299998,0.0,4.2251656106799995,0.0,198.55153282327996
2015-01-14,0.0,0.0,0.0,0.0,171.21688497798002,0.0,0.0187519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8156328464400002,18.47418373234,0.0,4.07939623656,0.0,197.60484969332003
2015-01-15,0.0,0.0,0.0,0.0,167.52715600584,0.0,0.0179676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2792833949099998,18.206347996759998,0.0,3.94870533992,0.0,192.97946033743
2015-01-16,0.0,0.0,0.0,0.0,169.73982096179998,0.0,0.017040700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34525172148,18.549445505359998,0.0,4.01620544672,0.0,195.66776433535995
2015-01-20,0.0,0.0,0.0,0.0,168.98086196764,0.0,0.0159712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25442602644,18.65127047042,0.0,4.000407554360001,0.0,194.90293721886002
2015-01-21,0.0,0.0,0.0,0.0,173.540495,0.0,0.0174685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26016194862,18.53173587958,0.0,4.01333316644,0.0,199.36319449464
2015-01-22,0.0,0.0,0.0,0.0,181.17102648673998,0.0,0.0176111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33569125941,18.67783048922,0.0,4.13540589692,0.0,207.33756523228996
2015-01-23,0.0,0.0,0.0,0.0,182.3795385573,0.0,0.0174685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34716352149,18.68004586406,0.0,4.07006107228,0.0,208.49427751513
2015-01-26,0.0,0.0,0.0,0.0,180.78570353528002,0.0,0.0186093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4255604800799997,18.50517586078,0.0,4.07652341056,0.0,206.81157258670004
2015-01-27,0.0,0.0,0.0,0.0,179.086785,0.0,0.019251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38445035742,18.1000940953,0.0,4.0355927734,0.0,204.62617322612
2015-01-28,0.0,0.0,0.0,0.0,177.42873853528002,0.0,0.0187519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3586365145799997,17.872104281080002,0.0,3.93147165824,0.0,202.60970288918006
2015-01-29,0.0,0.0,0.0,0.0,182.02339901617998,0.0,0.0186093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45041826627,18.01376678108,0.0,3.9975350402,0.0,207.50372840372998
2015-01-30,0.0,0.0,0.0,0.0,206.98170401617998,0.0,0.0183241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3653291199899997,18.15765145572,0.0,3.90490312412,0.0,232.42791181600998
2015-02-02,0.0,0.0,0.0,0.0,212.78487598382003,0.0,0.0190371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3433395037499998,18.36793527072,0.0,3.98317387268,0.0,238.49836173097003
2015-02-03,0.0,0.0,0.0,0.0,212.24775399416,0.0,0.0196788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4370330554499997,18.55165884026,0.0,4.07293296276,0.0,238.32905765263
2015-02-04,0.0,0.0,0.0,0.0,212.948345,0.0,0.020320500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4618909460699996,18.63355925802,0.0,4.048518463440001,0.0,239.11263416753
2015-02-05,0.0,0.0,0.0,0.0,218.28446855730002,0.0,0.0236003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45041826627,18.99657814068,0.0,4.07652341056,0.0,244.83158867481
2015-02-06,0.0,0.0,0.0,0.0,218.51214901618,0.0,0.0216039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57183756525,18.62913417484,0.0,4.1569488176,0.0,244.89167347387001
2015-02-09,0.0,0.0,0.0,0.0,216.34033803236,0.0,0.021675200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5441126534099996,18.724315281979997,0.0,4.15192133312,0.0,242.78236250087
2015-02-10,0.0,0.0,0.0,0.0,217.76486,0.0,0.021675200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6397180051199998,18.6446266125,0.0,4.1978785192400005,0.0,244.26875833685997
2015-02-11,0.0,0.0,0.0,0.0,219.0142435573,0.0,0.021889099999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65692671153,18.69553830172,0.0,4.19141618096,0.0,245.58001385151002
2015-02-12,0.0,0.0,0.0,0.0,220.19939698966,0.0,0.0222456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7467967676400002,19.37288111262,0.0,4.27758482324,0.0,247.61890529316
2015-02-13,0.0,0.0,0.0,0.0,222.91998301034002,0.0,0.0224595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73914841887,19.288767359959998,0.0,4.28476571884,0.0,250.25512400801
2015-02-17,0.0,0.0,0.0,0.0,219.18353851326,0.0,0.0221743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7554010686299995,19.37288111262,0.0,4.3156431801199995,0.0,246.64963817462998
2015-02-18,0.0,0.0,0.0,0.0,217.98087048090002,0.0,0.0219604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7401037445099994,19.41936590538,0.0,4.26322279816,0.0,245.42552332895005
2015-02-19,0.0,0.0,0.0,0.0,221.26778000000002,0.0,0.021817800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7410606365999994,19.74475922804,0.0,4.253170869640001,0.0,249.02858853428003
2015-02-20,0.0,0.0,0.0,0.0,223.98838353528,0.0,0.021817800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7554010686299995,20.09671052956,0.0,4.2941011949600005,0.0,252.15641412843001
2015-02-23,0.0,0.0,0.0,0.0,221.9333435573,0.0,0.021817800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72767500806,20.16975692774,0.0,4.26178724272,0.0,250.11438053582
2015-02-24,0.0,0.0,0.0,0.0,221.02841146472,0.0,0.0221743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65788276818,20.21402317242,0.0,4.36734422516,0.0,249.28983593048
2015-02-25,0.0,0.0,0.0,0.0,224.9867104809,0.0,0.022103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6617070992099996,20.51285103644,0.0,4.39032355884,0.0,253.57369517539
2015-02-26,0.0,0.0,0.0,0.0,224.65392899416,0.0,0.0219604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5900031637499996,20.20074746956,0.0,4.4219183300800005,0.0,252.88855835755
2015-02-27,0.0,0.0,0.0,0.0,221.94501353528,0.0,0.0221743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64258544406,19.95061252002,0.0,4.40037634492,0.0,249.96076214427998
2015-03-02,0.0,0.0,0.0,0.0,225.15602353528,0.0,0.0228873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6932575952399995,20.368973388260002,0.0,4.43556218764,0.0,253.67670400642
2015-03-03,0.0,0.0,0.0,0.0,224.5430014427,0.0,0.0223882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7458402932699997,20.1365548643,0.0,4.449923667,0.0,252.89770846726998
2015-03-04,0.0,0.0,0.0,0.0,223.43959098382,0.0,0.0217465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8041598533499994,20.30035207326,0.0,4.46141286608,0.0,252.02726227651002
2015-03-05,0.0,0.0,0.0,0.0,226.42290301034,0.0,0.0212474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78886326024,20.54384497816,0.0,4.45207762384,0.0,255.22893627258
2015-03-06,0.0,0.0,0.0,0.0,221.90414146472,0.0,0.0208196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79651160901,20.09671052956,0.0,4.37237108596,0.0,250.19055428925
2015-03-09,0.0,0.0,0.0,0.0,221.01089803236002,0.0,0.0208909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8079846021,20.16975692774,0.0,4.416174159320001,0.0,249.42570462152003
2015-03-10,0.0,0.0,0.0,0.0,215.7273340382,0.0,0.0208196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8213689774799997,19.665068745280003,0.0,4.30559039404,0.0,243.54018175500002
2015-03-11,0.0,0.0,0.0,0.0,213.8941304809,0.0,0.0202492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84527070702,19.251138173399998,0.0,4.32569573232,0.0,241.33648429364
2015-03-12,0.0,0.0,0.0,0.0,218.4887909618,0.0,0.0196788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90550164939,19.75582476924,0.0,4.40683930688,0.0,246.57663548731
2015-03-13,0.0,0.0,0.0,0.0,216.35200801034,0.0,0.0196075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8749077321599996,19.423794615120002,0.0,4.38027014908,0.0,244.05058800670002
2015-03-16,0.0,0.0,0.0,0.0,217.96920050292002,0.0,0.0196788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98007553011,19.6362969782,0.0,4.4413063584,0.0,246.04655816963003
